What is the Type of necrosis seen in Infarct Brain,Liquefactive,Coagulative,Fat,Caseous,A
What is the type of Degeneration seen in Leiomyoma,Hyaline,Fatty,Hydropic,mucoid,A
What is the marker of acute pancreatitis,LDH,SGOT,Lipase,CK-MB,C
Following is not a type of Adaptations,Dysplasia,Anaplasia,Metaplasia,Atrophy,B
Troponin I is a Marker of,"Myocardial
Infarction",Acute pancreatitis,Cirrhosis of Liver,Appendicitis,A
Which of the following holds true for metaplasia,Disordered Growth,"Affects only epithelial
cells","it is an irreversible
change",it is reversible,D
Metastatic calcification,"Occurs in degenerating
tissues with low calcium
levels","Occurs in dead tissues
with raised serum
calcium levels","Occurs in normal tissues
with raised serum
calcium levels","Occurs in normal tissues
with low calcium levels",C
Pathogenesis of reversible cell injury doesn’t include the following,"Reduced Protein
synthesis",Decreased ATP,"intracellular lactic
acidosis",Calcium Influx,D
The nature of lesion in Barrett’s oesophagus is:,Metaplastic process,Neoplastic Lesion,"Congenital
anomaly","Inflammatory
disease",A
Caseous necrosis is,"Combination of
Coagulative and
Liquefactive Necrosis","Combination of fat and
coagulative necrosis","Another name for fat
necrosis","Another name for
coagulative necrosis",A
Following is not a type of Gangrene,Dry,Wet,Gas,Infarct,D
Following is the etiological agent for gas gangrene,Clostridium Welchii,Clostridium Tetani,Staphylococcus,Streptococcus,A
Following is not a feature of Wet Gangrene,Line of Demarcation,Common in bowels,Moist Rotten organ,Poor Prognosis,A
Following is not a feature of Apoptosis,Programmed Cell death,Inflammatory reaction,intact lysosomes,Apoptotic bodies,B
Coagulative necrosis is not seen in,Infarct Heart,Infarct Kidney,Infarct Spleen,Abscess Cavity,D
Wear and tear pigment is name given to,hemosidderin,bilirubin,lipofuschin,porphyrin,C
Following is not a pigment derived from haemoprotein,lipofuschin,haemosidderin,acid haematin,bilirubin,A
Following is the type of Extra Cellular Hyaline Deposition,Zenker's degeneration,Mallory's hyaline,Corpora Amylacea,Russel's body,C
Diabetic Foot is an Example of,Dry Gangrene,Wet Gangrene,Gas Gangrene,Dysplasia,B
Tomb Stone is a hall mark morphologic feature of,Coagulative Necrosis,Fat Necrosis,Liquefactive Necrosis,Caseous Necrosis,A
Fibrinoid necrosis is characterized by deposition of fibrin-like material stained by stain,PTAH,Immunohistochemica l,Sudan III,Oil Red O,A
Secreatory endometrium is an example of,Hyperplasia,Metaplasia,dysplasia,All the above,A
In Atrophy the cells are,Dead cells,Shrunken cells,Irreversibly injured cells,Enlarged cells,B
Fat Necrosis occurs in,Omentum,Brain,Breast,None of the above,C
Liquefactive Necrosis is seen in,Bone,Brain,Liver,Kidney,B
Common site of liquefactive necrosis is,Brain,Heart,kidney,Liver,B
Gummatous necrosis is caused by,mycobactrium Tuberculi,Mycobacterium Leprae,Treponema pallidum,Neisseria Gonococci,C
causes of cell damage,reduced O2 supply,genetic abnormalities,"abnormal immunological
reaction",all above,D
All are features of apoptosis except,cell shrinkage,"marked inflammatory
infiltrate",single cell shedding,chromatin condensation,B
Metastatic calcification is seen in,caseous necrosis,coagulative necrosis,hyperparathyroidism,dead foetus,C
does not elicit inflammatory reaction,apoptosis,hypoxia,toxins,antibodies,A
Steatosis is also known as,Fatty Degenaration,Cloudy Degeneration,Hydropic Degeneration,Vacuolar Degeneration,A
Hyaline degeneration in rectus abdominal is muscle in typhoid feveris also known as,mucoid degeneration,zenker's degeneration,cloudy degeneration,none of above,B
In fatty liver due to chronic alcoholism.the following mechanism are involved except,"increases fatty acid
synthesis","decreased triglyceride
utilization","increse ɑ-
glycerophosphate","block in lipoprotein
excretion",C
Caseous necrosis is distinctive of,tuberculosis,syphilis,typhoid,leprosy,A
Type of necrosis occurring in myocardial infarct,coagulative,caseous,liquifactive,fibrinoid,A
Gangrenous organ bears blackish discolouration due to,melanin,hemosiderin,iron sulphide,lipofuscin,C
"“cheeselike,” necrosis",Caseous necrosis,Coagulative necrosis,Liquefactive necrosis,Fibrinoid necrosis,A
Programmed and coordinated cell death is,Apoptosis,necrosis,calcification,metaplasia,A
‘falling off’ or ‘dropping off’ is seen in,Dry gangrene,Apoptosis,wet gangrene,Necrotising inflammation,B
Free Radicals Involved in Cell Injury are,Superoxide (O2),"Hydrogen peroxide
(H2O2)",Hydroxyl radical (•OH),all of above,D
Annexin V is used as a marker for:,Necrosis,Fatty change,Apoptosis,Gangrene,C
Which of the following genes is proapoptotic:,p53,Bcl-2,RB,Bax,D
"In atrophy, the cells are",Dead cells,Shrunken cells,Shrunken cells,Reversibly injured cells,B
decreses in size of brain with aging is example of,Physiologic atrophy.,Pathologic atrophy.,Physiologic hypertrophy.,Pathologic hypertrophy.,A
